"","Date","Open","Close","Adj.Close","Volume","Result","Value"
"370","2011_3_22",22.73,22.190001,22.190001,582900,"Low",22
"371","2011_3_23",22.110001,22.209999,22.209999,422800,"High",22.27
"372","2011_3_23",22.110001,22.209999,22.209999,422800,"Low",21.77
"373","2011_3_24",22.139999,22.33,22.33,462200,"High",22.379999
"374","2011_3_24",22.139999,22.33,22.33,462200,"Low",21.98
"375","2011_3_25",22.43,22.75,22.75,568000,"High",23
"376","2011_3_25",22.43,22.75,22.75,568000,"Low",22.4
"377","2011_3_28",22.700001,23.25,23.25,1058100,"High",23.540001
"378","2011_3_28",22.700001,23.25,23.25,1058100,"Low",22.549999
"379","2011_3_29",23.299999,23.92,23.92,755400,"High",24
"380","2011_3_29",23.299999,23.92,23.92,755400,"Low",23.209999
"381","2011_3_30",24.110001,23.709999,23.709999,1223300,"High",24.49
"382","2011_3_30",24.110001,23.709999,23.709999,1223300,"Low",23.01
"383","2011_3_31",26.549999,27.75,27.75,11517800,"High",28.709999
"384","2011_3_31",26.549999,27.75,27.75,11517800,"Low",26.5
"385","2011_4_1",27.450001,26.66,26.66,2864800,"High",28.18
"386","2011_4_1",27.450001,26.66,26.66,2864800,"Low",26.57
"387","2011_4_4",26.83,25.83,25.83,2609300,"High",27
"388","2011_4_4",26.83,25.83,25.83,2609300,"Low",25.23
"389","2011_4_5",25.9,26.700001,26.700001,3180900,"High",27
"390","2011_4_5",25.9,26.700001,26.700001,3180900,"Low",25.690001
"391","2011_4_6",26.99,26.49,26.49,1288300,"High",27.01
"392","2011_4_6",26.99,26.49,26.49,1288300,"Low",25.799999
"393","2011_4_7",26.85,27.24,27.24,2810300,"High",27.940001
"394","2011_4_7",26.85,27.24,27.24,2810300,"Low",26.450001
"395","2011_4_8",27.58,26.49,26.49,1946400,"High",27.6
"396","2011_4_8",27.58,26.49,26.49,1946400,"Low",26.360001
"397","2011_4_11",26.469999,25.27,25.27,1369400,"High",26.530001
"398","2011_4_11",26.469999,25.27,25.27,1369400,"Low",25.02
"399","2011_4_12",25.08,24.65,24.65,1357400,"High",25.209999
